image_id,angle,speed
1,70,0
2,100,1
3,70,1
4,85,1
5,75,0
6,45,1
7,95,0
8,75,1
9,75,0
10,75,0
11,90,0
12,85,1
13,70,0
14,105,1
15,85,1
16,75,1
17,95,1
18,95,1
19,90,0
20,85,0
21,85,1
22,60,0
23,95,1
24,95,1
25,75,1
26,90,1
27,85,1
28,95,1
29,75,0
30,70,1
31,70,1
32,80,0
33,100,1
34,105,0
35,75,1
36,70,1
37,85,1
38,90,0
39,80,1
40,75,1
41,95,1
42,75,1
43,100,1
44,90,1
45,75,1
46,90,1
47,95,0
48,90,1
49,100,1
50,70,1
51,90,0
52,85,1
53,100,1
54,60,0
55,90,1
56,100,1
57,90,1
58,80,1
59,80,1
60,85,0
61,70,1
62,90,1
63,95,1
64,85,1
65,90,1
66,80,1
67,60,1
68,95,1
69,90,1
70,85,1
71,80,1
72,85,1
73,90,1
74,90,1
75,90,1
76,95,1
77,95,1
78,80,1
79,100,1
80,95,1
81,85,1
82,105,1
83,85,1
84,65,1
85,45,1
86,70,0
87,90,1
88,70,1
89,75,0
90,55,1
91,100,1
92,75,1
93,95,0
94,80,0
95,65,1
96,95,1
97,90,1
98,85,0
99,80,1
100,75,1
101,90,1
102,95,1
103,80,0
104,75,1
105,105,1
106,95,1
107,90,1
108,95,1
109,80,0
110,75,1
111,75,1
112,75,1
113,75,1
114,90,1
115,110,0
116,90,0
117,95,1
118,80,1
119,80,1
120,80,0
121,90,0
122,70,1
123,95,1
124,90,1
125,110,1
126,70,1
127,85,1
128,105,1
129,80,1
130,90,1
131,95,1
132,95,1
133,80,1
134,95,1
135,80,1
136,95,1
137,90,0
138,90,1
139,45,1
140,90,0
141,90,0
142,95,0
143,85,1
144,105,1
145,95,1
146,75,0
147,95,0
148,85,0
149,90,0
150,105,1
151,70,1
152,95,1
153,65,1
154,70,1
155,70,0
156,70,1
157,100,1
158,95,0
159,85,0
160,80,1
161,70,1
162,95,1
163,60,1
164,85,1
165,70,1
166,95,1
167,90,1
168,85,1
169,75,1
170,85,1
171,80,1
172,35,0
173,95,1
174,45,1
175,70,1
176,85,1
177,100,1
178,90,1
179,100,1
180,55,1
181,95,1
182,75,0
183,90,1
184,90,0
185,90,1
186,75,0
187,75,1
188,85,0
189,75,1
190,75,1
191,105,1
192,90,0
193,80,0
194,70,1
195,95,1
196,80,1
197,80,1
198,90,1
199,70,0
200,80,1
201,95,0
202,100,1
203,50,1
204,85,0
205,95,1
206,90,0
207,95,1
208,75,1
209,70,1
210,100,0
211,85,0
212,85,1
213,90,1
214,70,0
215,85,0
216,90,1
217,95,0
218,80,1
219,95,0
220,105,1
221,85,0
222,75,0
223,100,1
224,85,1
225,105,1
226,100,1
227,70,1
228,95,1
229,95,1
230,85,0
231,70,0
232,80,0
233,95,1
234,100,1
235,100,1
236,75,1
237,95,1
238,85,1
239,110,1
240,70,0
241,95,1
242,105,1
243,90,1
244,110,1
245,85,0
246,70,0
247,95,1
248,80,1
249,95,1
250,55,1
251,75,1
252,75,1
253,95,0
254,95,1
255,90,1
256,75,1
257,95,1
258,110,1
259,95,1
260,65,1
261,75,1
262,80,0
263,80,0
264,85,1
265,65,1
266,85,1
267,80,1
268,70,0
269,95,1
270,85,0
271,100,1
272,90,0
273,95,0
274,50,1
275,90,1
276,75,0
277,80,0
278,100,1
279,85,0
280,90,1
281,85,1
282,80,1
283,85,1
284,95,1
285,70,1
286,80,0
287,95,1
288,80,1
289,40,1
290,100,1
291,90,1
292,95,0
293,75,1
294,70,1
295,85,1
296,95,0
297,80,1
298,95,1
299,95,1
300,75,1
301,75,1
302,85,1
303,85,1
304,85,1
305,85,1
306,90,1
307,95,0
308,65,1
309,90,1
310,80,1
311,75,1
312,85,1
313,55,0
314,95,1
315,60,1
316,65,1
317,95,0
318,85,0
319,70,1
320,80,0
321,95,1
322,75,1
323,75,1
324,75,0
325,85,0
326,75,1
327,80,1
328,100,0
329,75,1
330,75,1
331,75,0
332,75,0
333,100,1
334,65,1
335,95,1
336,75,1
337,90,1
338,85,1
339,105,1
340,95,1
341,100,1
342,95,0
343,110,1
344,95,0
345,90,1
346,75,1
347,70,1
348,80,1
349,85,1
350,100,1
351,75,1
352,75,0
353,70,1
354,80,1
355,95,0
356,100,1
357,80,0
358,95,1
359,85,1
360,70,1
361,90,1
362,90,1
363,80,1
364,85,1
365,85,0
366,95,0
367,80,1
368,85,1
369,90,1
370,85,1
371,70,1
372,85,1
